symbol,name,market_cap,volume_24h
BTC,Bitcoin,530087822102,16420613644.0
ETH,Ethereum,220646752373,9317308671.0
USDT,Tether,81543532262,23412597916.0
BNB,BNB,52441209140,665835592.0
USDC,USD Coin,30707230990,4066538109.0
XRP,XRP,23841740830,1360589334.0
ADA,Cardano,13436715128,298264271.0
STETH,Lido Staked Ether,11225776177,12540311.0
DOGE,Dogecoin,10894459110,438042346.0
MATIC,Polygon,9169018014,370768574.0
SOL,Solana,8376871345,405780958.0
DOT,Polkadot,7254061303,167860417.0
BUSD,Binance USD,6424148478,2206950344.0
LTC,Litecoin,6390487524,523840171.0
SHIB,Shiba Inu,6060383000,145091485.0
TRX,TRON,6005137418,295378786.0
AVAX,Avalanche,5541501862,176128067.0
DAI,Dai,4789097953,135477565.0
WBTC,Wrapped Bitcoin,4212093157,144971194.0
UNI,Uniswap,4032331951,71700872.0
LINK,Chainlink,3661209711,242186991.0
TON,Toncoin,3388110504,24006532.0
LEO,LEO Token,3277304958,331679.0
ATOM,Cosmos Hub,3160596283,113996533.0
XMR,Monero,2862687916,96635829.0
OKB,OKB,2743207759,81780629.0
ETC,Ethereum Classic,2712267835,109242816.0
XLM,Stellar,2504298750,58092496.0
ICP,Internet Computer,2340496613,34253346.0
BCH,Bitcoin Cash,2302771526,72044754.0
FIL,Filecoin,2211659390,123017935.0
TUSD,TrueUSD,2042896660,1763601455.0
APT,Aptos,1932302132,117547374.0
HBAR,Hedera,1870377158,29093302.0
LDO,Lido DAO,1835106748,47498307.0
NEAR,NEAR Protocol,1690798024,85883264.0
CRO,Cronos,1685937426,12195468.0
ARB,Arbitrum,1684137950,603097927.0
VET,VeChain,1602791610,50201650.0
QNT,Quant,1594318908,18217481.0
APE,ApeCoin,1461415602,82811322.0
ALGO,Algorand,1340756406,45378631.0
GRT,The Graph,1231142109,44830548.0
FTM,Fantom,1170016613,148872656.0
EOS,EOS,1148996719,98800849.0
SAND,The Sandbox,1074360642,102296872.0
USDP,Pax Dollar,1048105615,10692925.0
FRAX,Frax,1038457226,7113307.0
MANA,Decentraland,1012465607,69994593.0
STX,Stacks,1008911429,137587306.0
EDGT,Edgecoin,1001653091,22080431.0
THETA,Theta Network,1001002351,13894828.0
AAVE,Aave,996467168,36024283.0
EGLD,MultiversX,979241282,16769555.0
FLOW,Flow,950010988,64127492.0
XTZ,Tezos,939695395,22550853.0
XRD,Radix,925447563,8267895.0
IMX,ImmutableX,925191695,24378780.0
AXS,Axie Infinity,908307250,43034672.0
RPL,Rocket Pool,883522171,7019041.0
SNX,Synthetix Network,783154218,33178580.0
