symbol,name,market_cap,volume_24h
BTC,Bitcoin,529613163305.5311,17505190354.165054
ETH,Ethereum,221072162118.64764,8684823285.030779
BNB,BNB,51511309250.04152,679710802.3398199
XRP,XRP,23586354225.684338,1285285158.5283477
ADA,Cardano,13411573112.298641,299870412.7512305
DOGE,Dogecoin,10891936642.205345,439770691.95928925
MATIC,Polygon,9178076777.73489,489393603.9512977
SOL,Solana,8393221098.474113,388661461.81104565
DOT,Polkadot,6929220424.51908,170761512.68356466
LTC,Litecoin,6379538991.294679,540472360.6260298
TRX,TRON,6001407223.586111,193748668.80637258
AVAX,Avalanche,5551676186.527926,178215471.79166752
ATOM,Cosmos,3094232786.1792674,107370437.98271385
XMR,Monero,2875125170.803504,80993318.72626798
TON,Toncoin,2790288110.9084535,25276762.60028156
ETC,Ethereum Classic,2708679092.071388,117684908.8370295
XLM,Stellar,2495165276.226983,54413541.51976313
BCH,Bitcoin Cash,2328825917.120622,96944873.29145277
FIL,Filecoin,2210451162.1336594,145687579.36430028
HBAR,Hedera,1852622755.3087246,27455112.54682482
NEAR,NEAR Protocol,1685121088.479074,74422483.83124289
VET,VeChain,1600536449.9869897,38736576.83604973
ALGO,Algorand,1331914923.4014175,41560686.08778051
FTM,Fantom,1176722324.9109333,131251835.56979604
EOS,EOS,1131919744.935534,102485906.63559875
STX,Stacks,1006904251.818974,144986569.7517817
THETA,Theta Network,994892034.6592228,12224084.84158503
EGLD,MultiversX,981716769.9174523,17451656.05276571
FLOW,Flow,945734720.2310654,60561133.13086823
XTZ,Tezos,936035970.6312662,19152553.61461765
CFX,Conflux,812280726.6700813,167013022.05376709
NEO,Neo,762671933.2459038,56076800.33334295
KLAY,Klaytn,680188777.8663447,28334405.94017303
BSV,Bitcoin SV,657752118.9668748,28892316.58054627
LUNC,Terra Classic,650532123.6179405,45882626.77729883
ZEC,Zcash,595515868.8905212,17708886.08494439
MINA,Mina,590284324.153744,15823573.75603443
XDC,XDC Network,577231015.5687314,4852223.18285599
XEC,eCash,568990329.8581375,5317253.16536796
DASH,Dash,558106119.8287992,72838721.73721527
MIOTA,IOTA,549413908.736909,6694945.2002849
CSPR,Casper,539974752.6139472,12157851.06795998
ZIL,Zilliqa,492024131.79519176,78513830.31645016
FLR,Flare,460958354.1743961,9922932.16950417
OSMO,Osmosis,370513295.8824252,7685033.81912893
XEM,NEM,326143287.6844696,9464266.96341326
LUNA,Terra,325987765.877925,50877767.29137363
ETHW,EthereumPoW,323043446.6911803,14031744.15923522
SXP,Solar,307813351.52203697,68066384.13398096
TFUEL,Theta Fuel,304810419.2032178,4036804.13433406
QTUM,Qtum,298593599.18615973,33556854.11999025
CELO,Celo,297365931.22490215,8965234.53009969
XCH,Chia,295658861.61845106,4822705.12034479
RVN,Ravencoin,288454800.10837436,7859940.78002516
DCR,Decred,280537392.5223746,2726617.52496614
FET,Fetch.ai,272614120.2698102,40996382.21976366
ICX,ICON,270933326.85777164,17347628.40714885
HNT,Helium,265468310.08164573,4375013.31956223
ONE,Harmony,264140128.35853317,17789705.75981766
LN,LINK,260238331.26139385,567949.82548653
AR,Arweave,256238146.78643283,6574141.55809312
KSM,Kusama,255053625.5951691,8518474.93297019
BTG,Bitcoin Gold,252689242.200867,3547887.66247042
IOTX,IoTeX,221731500.32757035,23456715.59843323
GLMR,Moonbeam,220671530.1582665,4804969.93914967
WAVES,Waves,212864427.84902027,47440009.36384615
KDA,Kadena,209349173.06384873,4254066.13065815
ONT,Ontology,207880726.72365707,13874501.45624612
MOB,MobileCoin,207851609.335295,1381084.45989956
SC,Siacoin,206653072.27228278,3279268.22823555
IOST,IOST,192830739.62349927,14865018.02011508
HIVE,Hive,191848484.57166877,6713590.17349773
USTC,TerraClassicUSD,191145030.28276598,9657139.50547855
FLUX,Flux,179226630.28553286,9143848.62415069
WAXP,WAX,174811308.456345,4009093.00491897
XYM,Symbol,174731209.55921856,794194.93342859
CORE,Core,153945262.49401015,14710539.64926203
CKB,Nervos Network,152361911.1685624,3771327.70978675
DGB,DigiByte,148484696.75004062,5080909.23947703
ABBC,ABBC Coin,137387569.79765528,23896853.69345343
ZEN,Horizen,130417310.38372418,4830313.43257179
SCRT,Secret,128639899.71808018,2174746.38141235
LSK,Lisk,126135019.99364534,6882093.69842639
WTRX,Wrapped TRON,6714778315.7269745,1293322.61606368
XRD,Radix,918528405.9567434,8705870.56364637
TNC,TNC Coin,638541641.2560667,78331.75829002
KAS,Kaspa,462779944.8538502,11208929.75104949
DFI,DeFiChain,313639460.1994933,5317035.17433086
WEMIX,WEMIX,308255462.0207486,5689007.96437917
RON,Ronin,224549805.83221674,2640308.91738572
BDX,Beldex,212136771.17250392,2361627.36731147
DESO,Decentralized Social,122915530.14145423,182153.14201241
EVER,Everscale,115212254.81513587,2108133.74717986
DEL,Decimal,113656248.61345956,264540.61595615
MED,MediBloc,112529202.63782082,1329289.92472367
SYS,Syscoin,111896293.71508561,1556597.57163693
XNO,Nano,107715108.29971568,538544.09646415
DERO,Dero,98739542.4150152,267477.85798328
RBTC,Rootstock Smart Bitcoin,97160175.50659314,35249.10734612
COTI,COTI,96124315.958,6708619.30375717
ERG,Ergo,95048905.19648406,280923.66320579
STEEM,Steem,92879599.01979418,5652391.58965227
CFG,Centrifuge,88820838.39228468,962372.41440252
ARDR,Ardor,88507845.534681,1501443.03020452
RAD,Radicle,84049303.1857854,6067754.51296063
STRAX,Stratis,81214927.86346813,6314657.38813651
NKN,NKN,80293466.12544394,3782364.86177299
EWT,Energy Web Token,78582306.1170095,807988.04808094
PHA,Phala Network,75615405.40567394,3304298.61863736
XPLA,XPLA,72781684.78449212,82853.02890935
CTK,Shentu,68732080.47006132,9783857.8417573
TOMO,TomoChain,68600299.7171424,11783386.04199952
CTC,Creditcoin,68311884.86463924,14980306.22401195
ARRR,Pirate Chain,65394100.479696,80904.02844736
REEF,Reef,59867309.53940422,10050575.79404421
CCD,Concordium,57392118.48952975,665548.72212413
ETN,Electroneum,56198281.70507015,1438153.17673512
ACA,Acala Token,54384112.492712565,4952627.65811116
KMD,Komodo,53926782.80136663,12348811.3834279
ARK,Ark,53106362.02140051,2452000.24210989
MTRG,Meter Governance,51695810.91338212,223902.17948544
TLOS,Telos,49442129.96819042,1135328.65665175
META,Metadium,49359572.376186125,2765450.47293755
WAN,Wanchain,48808860.78876072,738017.79294335
